"","Overall"
"n","    86"
"roomvol (median [IQR])","133.14 [70.37, 343.91]"
"floorarea (median [IQR])"," 48.45 [22.56, 111.25]"
"roomheight (median [IQR])","  2.76 [2.55, 3.40]"
"popdensityavg (median [IQR])","  0.13 [0.07, 0.24]"
"openwinarea (median [IQR])","  0.00 [0.00, 0.81]"
"opendoorarea (median [IQR])","  2.14 [1.29, 3.37]"
"fan_on = 1 (%)","    27 (31.4) "
"acon_on = 1 (%)","    21 (24.4) "
"crossvent = 1 (%)","    28 (32.6) "
"co2average (median [IQR])","809.00 [575.89, 1,126.32]"
"Q (median [IQR])","162.53 [49.89, 362.68]"
"ventrateavg (median [IQR])"," 13.04 [7.91, 27.77]"
"ach (median [IQR])","  2.94 [1.63, 5.44]"
